simplified_created_at_date,us_cases,us_deaths
2020.7.8,3071536,132237
2020.7.9,3131422,133078
2020.7.10,3199646,133906
2020.7.11,3260362,134581
2020.7.12,3318167,134976
2020.7.13,3379734,135401
2020.7.14,3445331,136355
2020.7.15,3513667,137326
2020.7.16,3589349,138284
2020.7.17,3660271,139185
2020.7.18,3722719,139960
2020.7.19,3784994,140372
2020.7.20,3844882,140903
2020.7.21,3910148,142030
2020.7.22,3979885,143166
2020.7.23,4049889,144282
2020.7.24,4123412,145428
2020.7.25,4190188,146311
2020.7.26,4244405,146751
2020.7.27,4303586,148447
2020.7.28,4366696,149774
2020.7.29,4433311,151169
2020.7.30,4502422,152430
2020.7.31,4571510,153859
2020.8.1,4628329,154914
2020.8.2,4679122,155334
2020.8.3,4726604,155942
2020.8.4,4780151,157298
2020.8.5,4833868,158550
2020.8.6,4891561,159625
2020.8.7,4952718,160981
2020.8.8,5007958,161947
2020.8.9,5056438,162486
2020.8.10,5103611,163023
2020.8.11,5156968,164474
2020.8.12,5211246,165952
2020.8.13,5265307,167165
2020.8.14,5324784,168341
2020.8.15,5375527,169400
2020.8.16,5417664,169914
2020.8.17,5455187,170449
2020.8.18,5498420,171798
2020.8.19,5541433,173093
2020.8.20,5587462,174136
2020.8.21,5636491,175297
2020.8.22,5681517,176247
2020.8.23,5713850,176693
2020.8.24,5754254,177197
2020.8.25,5793437,178410
2020.8.26,5838756,179603
2020.8.27,5884366,180729
2020.8.28,5930930,181739
2020.8.29,5975540,182610
2020.8.30,6008970,182984
2020.8.31,6045455,183472
2020.9.1,6089504,184563
2020.9.2,6121948,185639
2020.9.3,6168342,186717
2020.9.4,6220446,187697
2020.9.5,6262700,188409
2020.9.6,6292699,188820
2020.9.7,6317865,189083
2020.9.8,6346806,189541
2020.9.9,6380138,190716
2020.9.10,6418198,191631
2020.9.11,6465766,192858
2020.9.12,6504870,193559
2020.9.13,6538213,193958
2020.9.14,6575100,194408
2020.9.15,6614317,195689
2020.9.16,6653585,196686
2020.9.17,6698895,197535
2020.9.18,6747782,198484
2020.9.19,6789593,199154
2020.9.20,6825949,199367
2020.9.21,6880899,199797
2020.9.22,6918290,200738
2020.9.23,6959841,201828
2020.9.24,7005043,202713
2020.9.25,7059611,203566
2020.9.26,7102308,204335
2020.9.27,7139606,204602
2020.9.28,7176970,204952
2020.9.29,7220667,205878
2020.9.30,7262695,206852
2020.10.1,7309113,207699
2020.10.2,7362517,208564
2020.10.3,7410296,209273
2020.10.4,7444705,209606
2020.10.5,7487064,210035
2020.10.6,7529682,210756
2020.10.7,7582317,211750
2020.10.8,7638454,212678
