Fips_5,democrat,republican,others
08011,0.306175402,0.616502335,0.077322263
08013,0.703372984,0.2200253,0.076601716
08014,0.523521452,0.381198758,0.09527979
08015,0.434488889,0.4792,0.086311111
08017,0.119782214,0.83938294,0.040834846
08019,0.465223321,0.438970338,0.095806342
08021,0.440328195,0.475882645,0.08378916
08023,0.608766234,0.318181818,0.073051948
08025,0.222003929,0.706614276,0.071381794
08027,0.259947815,0.67221135,0.067840835
08029,0.243418702,0.694163192,0.062418106
08031,0.736927908,0.188909514,0.074162578
08033,0.192828685,0.752191235,0.05498008
08035,0.36617262,0.547058918,0.086768463
08037,0.558973952,0.356420727,0.084605321
08039,0.196144699,0.732569783,0.071285518
08041,0.338624372,0.561901388,0.09947424
08043,0.241068584,0.688208256,0.07072316
08045,0.425802796,0.496108802,0.078088402
08047,0.456935123,0.437919463,0.105145414
08049,0.391010713,0.523288309,0.085700978
08051,0.544836379,0.349447514,0.105716107
08053,0.334465195,0.575551783,0.089983022
08055,0.431667988,0.497753106,0.070578906
08057,0.198606272,0.730545877,0.070847851
08059,0.488856186,0.420141571,0.091002244
08061,0.106432749,0.851461988,0.042105263
08063,0.144786602,0.801458671,0.053754727
08065,0.505157862,0.396999062,0.097843076
08067,0.498394864,0.404077047,0.09752809
08069,0.475114808,0.425706705,0.099178488
08071,0.390107464,0.546150449,0.063742087
08073,0.167898194,0.776683087,0.055418719
08075,0.190392923,0.749022835,0.060584242
08077,0.279821771,0.641044132,0.079134097
08079,0.363496933,0.527607362,0.108895706
08081,0.13394636,0.81302682,0.05302682
08083,0.308990512,0.610748172,0.080261316
08085,0.258000566,0.67884452,0.063154914
08087,0.263461538,0.681020067,0.055518395
08089,0.348201609,0.583057265,0.068741126
08091,0.512688822,0.4081571,0.079154079
08093,0.328405491,0.588941154,0.082653355
08095,0.186963979,0.768010292,0.045025729
08097,0.696854509,0.242326333,0.060819158
08099,0.236443381,0.703947368,0.05960925
08101,0.456157974,0.461116904,0.082725123
08103,0.126376812,0.808985507,0.064637681
08105,0.361582942,0.557462956,0.080954102
08107,0.543400543,0.373945374,0.082654083
08109,0.499823633,0.404585538,0.095590829
08111,0.523715415,0.424901186,0.051383399
08113,0.687225687,0.238623239,0.074151074
08115,0.195747801,0.744134897,0.060117302
08117,0.590886608,0.315320885,0.093792506
08119,0.249446137,0.674674605,0.075879258
08121,0.108305891,0.841200146,0.050493963
08123,0.343496175,0.565990785,0.09051304
08125,0.151534126,0.803590065,0.044875809
09001,0.578933499,0.380041737,0.041024764
09003,0.590868202,0.364183118,0.044948681
09005,0.40819154,0.544436691,0.04737177
09007,0.511791388,0.438560661,0.049647951
09009,0.542495369,0.419645072,0.037859559
09011,0.504161,0.437617382,0.058221618
09013,0.497339326,0.441646001,0.061014672
09015,0.428782244,0.506601342,0.064616414
10001,0.447076329,0.495871203,0.057052468
10003,0.620901632,0.325944869,0.0531535
10005,0.371038035,0.590625236,0.038336729
11001,0.908638215,0.040874745,0.05048704
12001,0.589713077,0.364265659,0.046021265
12003,0.167167959,0.814785499,0.018046541
12005,0.24924245,0.711170572,0.039586978
12007,0.241692842,0.736733344,0.021573814
12009,0.380232691,0.577750102,0.042017207
12011,0.665087247,0.313661502,0.021251252
12013,0.204078277,0.765499096,0.030422628
12015,0.347033432,0.624836574,0.028129994
12017,0.285934755,0.683262233,0.030803011
12019,0.261281143,0.703990308,0.034728548
12021,0.35766355,0.617270433,0.025066017
12023,0.264778625,0.709513359,0.025708015
12027,0.349510076,0.626548345,0.023941579
12029,0.176339906,0.808386559,0.015273535
12031,0.475401842,0.489194467,0.035403691
12033,0.376870052,0.582465944,0.040664004
12035,0.383040885,0.588664939,0.028294176
12037,0.289941812,0.685785536,0.024272652
12039,0.679238457,0.304255415,0.016506128
12041,0.173159145,0.800475059,0.026365796
12043,0.291982541,0.688260969,0.01975649
12045,0.235842589,0.730700672,0.033456739
12047,0.348717949,0.630586081,0.020695971
12049,0.283397072,0.691283133,0.025319794
12051,0.415204678,0.557354926,0.027440396
12053,0.33898034,0.628704849,0.032314811
12055,0.326949175,0.64713479,0.025916036
12057,0.51516916,0.44652478,0.03830606
12059,0.100187926,0.878905332,0.020906742
12061,0.362996663,0.607681636,0.029321701
12063,0.304025474,0.677581864,0.018392662
12065,0.463178548,0.514061478,0.022759974
12067,0.152712264,0.828125,0.019162736
12069,0.368633478,0.599476716,0.031889805
12071,0.382660376,0.586823724,0.0305159
12073,0.605184971,0.353778298,0.041036731
12075,0.263005929,0.710234597,0.026759474
12077,0.197512136,0.771541262,0.030946602
12079,0.414579659,0.57037037,0.015049971
12081,0.397992825,0.569653215,0.03235396
12083,0.355128792,0.617246709,0.027624499
12085,0.351839332,0.620151063,0.028009605
12086,0.636751125,0.340744376,0.022504499
12087,0.446607656,0.515655163,0.037737182
12089,0.233205313,0.735211449,0.031583239
12091,0.235784046,0.712835259,0.051380695
12093,0.2899729,0.685270636,0.024756464
12095,0.603897304,0.357358473,0.038744222
12097,0.609517424,0.35876496,0.031717616
12099,0.565687601,0.411277124,0.023035275
12101,0.373817591,0.589290824,0.036891585
12103,0.474613274,0.485782987,0.039603739
12105,0.413039808,0.553718776,0.033241416
12107,0.30479814,0.668478425,0.026723435
12109,0.315711209,0.649633005,0.034655786
12111,0.474848595,0.499045063,0.026106342
12113,0.210427945,0.744646419,0.044925637
12115,0.427262369,0.543247927,0.029489704
12117,0.470946571,0.486638268,0.042415161
12119,0.29528468,0.687797561,0.016917759
12121,0.212046646,0.764255911,0.023697443
12123,0.231646932,0.745963402,0.022389666
12125,0.178082192,0.80224798,0.019669828
12127,0.418183073,0.548194688,0.03362224
12129,0.283238877,0.684776236,0.031984887
12131,0.204417754,0.765704433,0.029877813
12133,0.202940122,0.774202223,0.022857655
13001,0.20450656,0.783513976,0.011979464
13003,0.267049808,0.71954023,0.013409962
13005,0.151243781,0.83681592,0.011940299
13007,0.451388889,0.538194444,0.010416667
13009,0.494539588,0.477599901,0.027860511
13011,0.098064516,0.879426523,0.022508961
13013,0.22642808,0.726359257,0.047212663
13015,0.207635904,0.756283186,0.03608091
13017,0.353942049,0.629885445,0.016172507
13019,0.158877086,0.82276176,0.018361153
13021,0.587689309,0.384098025,0.028212665
13023,0.221351025,0.747687977,0.030960997
13025,0.098238375,0.883510554,0.018251071
13027,0.398989899,0.584122475,0.016887626
13029,0.26454887,0.693930007,0.041521123
13031,0.365816085,0.596342234,0.037841681
13033,0.505935194,0.48026949,0.013795316
13035,0.269707799,0.706012193,0.024280008
13037,0.582222222,0.409876543,0.007901235
13039,0.313740014,0.651288292,0.034971695
13043,0.272654797,0.707945788,0.019399415
13045,0.282495864,0.680605607,0.036898529
13047,0.17830848,0.780207049,0.041484471
13049,0.25,0.734810757,0.015189243
13051,0.555456475,0.407412031,0.037131494
13053,0.427338129,0.54028777,0.032374101
13055,0.195467765,0.783082889,0.021449346
